genes	logFC	logCPM	F	PValue	FDR
ENSG00000173193.13	ENSG00000173193.13	1.67617537056961	7.10278946344643	160.308500842536	1.02245716371277e-36	3.9275380018592e-34
ENSG00000167601.11	ENSG00000167601.11	1.67572447248993	0.392143929183386	22.9374051055517	1.67561446478451e-06	4.06488162277651e-05
ENSG00000184979.9	ENSG00000184979.9	1.67364178801441	3.88863630759195	100.906050182182	9.85484890934306e-24	1.63276436270511e-21
ENSG00000243649.8	ENSG00000243649.8	1.67032399048214	-0.808945352086876	9.25429691671919	0.00234993986358532	0.0267245282468609
ENSG00000157017.15	ENSG00000157017.15	1.66969604296107	-0.807543160349851	9.24998721632039	0.00235547614907399	0.0267723436860826
ENSG00000134321.11	ENSG00000134321.11	1.64621007243842	-0.562085616864108	11.288268591887	0.000780225486336252	0.0103597178841847
ENSG00000111012.9	ENSG00000111012.9	1.6435008263988	3.20383341913257	79.3295219271902	5.32755893651818e-19	5.83111477937457e-17
ENSG00000148516.21	ENSG00000148516.21	1.64102490064885	1.25080438989982	35.6744209690417	2.33856062171187e-09	8.81461962338747e-08
ENSG00000123240.16	ENSG00000123240.16	1.63000962521647	5.25042215111604	128.277191412212	1.01050103589106e-29	2.56055867531589e-27
ENSG00000239713.7	ENSG00000239713.7	1.62441790404382	0.53274336218467	23.5751656805959	1.20277971558245e-06	2.98999336716184e-05
ENSG00000115415.18	ENSG00000115415.18	1.62237933201355	7.93317474519312	156.73587967702	6.15516145460322e-36	2.24973016366189e-33
ENSG00000112343.10	ENSG00000112343.10	1.61999145038912	2.80537263821836	67.7520940557208	1.87223731203407e-16	1.62695803766788e-14
ENSG00000166710.17	ENSG00000166710.17	1.60702540618644	7.314206371663	149.653548575588	2.16320765348229e-34	7.370549557413e-32
ENSG00000110446.9	ENSG00000110446.9	1.60662157383434	-0.590849638918074	10.5686934441615	0.00115050531084009	0.0145125861297101
ENSG00000133392.16	ENSG00000133392.16	1.60520576632925	-0.709853666910536	9.46256618068332	0.00209754410935902	0.0243266711821584
ENSG00000250510.7	ENSG00000250510.7	1.59613318394481	0.767881236462924	25.8937110235455	3.61282325646153e-07	9.83666568626104e-06
ENSG00000198133.8	ENSG00000198133.8	1.59426284049083	5.82191340279935	132.242159176819	1.37397386695827e-30	3.71576753222059e-28
ENSG00000105559.11	ENSG00000105559.11	1.58177760746058	4.06865257861502	95.5517431654251	1.468847797119e-22	2.15007944050128e-20
